date,event,net_return,loss,turnover,kappa,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
2020-01-02,daily,0.007297350207287649,-0.007297350207287649,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-03,daily,-0.00234934659186364,0.00234934659186364,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-06,daily,0.0033076206495374696,-0.0033076206495374696,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-07,daily,-0.0020196398567667003,0.0020196398567667003,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-08,daily,0.0008629809220527001,-0.0008629809220527001,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-09,daily,0.0048988986593672705,-0.0048988986593672705,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-10,daily,-0.00067426514959298,0.00067426514959298,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-13,daily,0.00366876124307756,-0.00366876124307756,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-14,daily,0.00049657964751794,-0.00049657964751794,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-15,daily,0.00308692199135563,-0.00308692199135563,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-16,daily,0.006143810362732881,-0.006143810362732881,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-17,daily,0.0008843331377350801,-0.0008843331377350801,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-21,daily,-0.00156196539080931,0.00156196539080931,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-22,daily,0.00072060975828395,-0.00072060975828395,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-23,daily,0.0015077272458028103,-0.0015077272458028103,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-24,daily,-0.0058627089936128,0.0058627089936128,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-27,daily,-0.010277810190051051,0.010277810190051051,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-28,daily,0.0061796857447917,-0.0061796857447917,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-29,daily,6.231019658788003e-05,-6.231019658788003e-05,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-30,daily,0.0038332450506010926,-0.0038332450506010926,0.0,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2020-01-31,daily,-0.005774280918677827,0.005774280918677827,0.6032390949868577,1.0,0.09999997653633406,0.02195596355071387,0.08473818221275234,0.3238995118081855,0.17711966411213648,0.1004581983766927,0.014670510172542672,0.06626416853818347,0.010751651496044772,0.10014217319641415
2020-02-03,daily,0.0005168199936975821,-0.0005168199936975821,0.0,,0.09999997653633406,0.02195596355071387,0.08473818221275234,0.3238995118081855,0.17711966411213648,0.1004581983766927,0.014670510172542672,0.06626416853818347,0.010751651496044772,0.10014217319641415
