date,net_return,loss,turnover,kappa,rolling_cvar_60,method
2020-01-02,0.007140695252217568,-0.007140695252217568,0.0,,,A_no_kappa
2020-01-03,-0.006860877841524423,0.006860877841524423,0.0,,,A_no_kappa
2020-01-06,0.0029301057328779334,-0.0029301057328779334,0.0,,,A_no_kappa
2020-01-07,-0.0036985955848548263,0.0036985955848548263,0.0,,,A_no_kappa
2020-01-08,0.00451528596356156,-0.00451528596356156,0.0,,,A_no_kappa
2020-01-09,0.007156715709659528,-0.007156715709659528,0.0,,,A_no_kappa
2020-01-10,-0.0035139447441116653,0.0035139447441116653,0.0,,,A_no_kappa
2020-01-13,0.005151972069637657,-0.005151972069637657,0.0,,,A_no_kappa
2020-01-14,-0.00019833245425298092,0.00019833245425298092,0.0,,,A_no_kappa
2020-01-15,-0.000170391599030944,0.000170391599030944,0.0,,,A_no_kappa
2020-01-16,0.007305295115076436,-0.007305295115076436,0.0,,,A_no_kappa
2020-01-17,0.0044949135068466555,-0.0044949135068466555,0.0,,,A_no_kappa
2020-01-21,-0.004289871741179582,0.004289871741179582,0.0,,,A_no_kappa
2020-01-22,0.0009682343028123491,-0.0009682343028123491,0.0,,,A_no_kappa
2020-01-23,-0.000555418966822311,0.000555418966822311,0.0,,,A_no_kappa
2020-01-24,-0.008122009531973482,0.008122009531973482,0.0,,,A_no_kappa
2020-01-27,-0.014608501001558994,0.014608501001558994,0.0,,,A_no_kappa
2020-01-28,0.007619026708817842,-0.007619026708817842,0.0,,,A_no_kappa
2020-01-29,-0.0022391541929038983,0.0022391541929038983,0.0,,,A_no_kappa
2020-01-30,0.0038215238373610827,-0.0038215238373610827,0.0,,0.014608501001558994,A_no_kappa
2020-01-31,-0.018070516481949107,0.018070516481949107,0.0,1.0,0.01633950874175405,A_no_kappa
2020-02-03,0.005081836467036331,-0.005081836467036331,0.0,,0.01633950874175405,A_no_kappa
2020-02-04,0.013618375252865479,-0.013618375252865479,0.0,,0.01633950874175405,A_no_kappa
2020-02-05,0.015831397627938858,-0.015831397627938858,0.0,,0.01633950874175405,A_no_kappa
2020-02-06,0.0004463253171323329,-0.0004463253171323329,0.0,,0.01633950874175405,A_no_kappa
2020-02-07,-0.005498931953693371,0.005498931953693371,0.0,,0.01633950874175405,A_no_kappa
2020-02-10,0.005145878871370195,-0.005145878871370195,0.0,,0.01633950874175405,A_no_kappa
2020-02-11,0.00387784837196797,-0.00387784837196797,0.0,,0.01633950874175405,A_no_kappa
2020-02-12,0.005308325076989725,-0.005308325076989725,0.0,,0.01633950874175405,A_no_kappa
2020-02-13,-0.001387304911586679,0.001387304911586679,0.0,,0.01633950874175405,A_no_kappa
2020-02-14,0.0008040842130500737,-0.0008040842130500737,0.0,,0.01633950874175405,A_no_kappa
2020-02-18,-0.004060293856438766,0.004060293856438766,0.0,,0.01633950874175405,A_no_kappa
2020-02-19,0.005331259389641491,-0.005331259389641491,0.0,,0.01633950874175405,A_no_kappa
2020-02-20,-0.002626024553501153,0.002626024553501153,0.0,,0.01633950874175405,A_no_kappa
2020-02-21,-0.00700579543377878,0.00700579543377878,0.0,,0.01633950874175405,A_no_kappa
2020-02-24,-0.03177496205633645,0.03177496205633645,0.0,,0.02492273926914278,A_no_kappa
2020-02-25,-0.030401102262038154,0.030401102262038154,0.0,,0.031088032159187304,A_no_kappa
2020-02-26,-0.004520552883487827,0.004520552883487827,0.0,,0.031088032159187304,A_no_kappa
2020-02-27,-0.04285451487209137,0.04285451487209137,0.0,,0.03731473846421391,A_no_kappa
2020-02-28,-0.012497836977797536,0.012497836977797536,0.0,1.0,0.03731473846421391,A_no_kappa
2020-03-02,0.044736148602501837,-0.044736148602501837,0.0,,0.03501019306348866,A_no_kappa
2020-03-03,-0.02808543784989472,0.02808543784989472,0.0,,0.03501019306348866,A_no_kappa
2020-03-04,0.04100575521516784,-0.04100575521516784,0.0,,0.03501019306348866,A_no_kappa
2020-03-05,-0.035205411914139235,0.035205411914139235,0.0,,0.03661162961418902,A_no_kappa
2020-03-06,-0.017540254638524787,0.017540254638524787,0.0,,0.03661162961418902,A_no_kappa
2020-03-09,-0.08408300094554787,0.08408300094554787,0.0,,0.05404764257725949,A_no_kappa
2020-03-10,0.04834367004916343,-0.04834367004916343,0.0,,0.05404764257725949,A_no_kappa
2020-03-11,-0.04991282239678823,0.04991282239678823,0.0,,0.05895011273814249,A_no_kappa
2020-03-12,-0.10105595740287247,0.10105595740287247,0.0,,0.0783505935817362,A_no_kappa
2020-03-13,0.09383021592911964,-0.09383021592911964,0.0,,0.0783505935817362,A_no_kappa
2020-03-16,-0.1197503358136679,0.1197503358136679,0.0,,0.10162976472069608,A_no_kappa
2020-03-17,0.05513785303755465,-0.05513785303755465,0.0,,0.10162976472069608,A_no_kappa
2020-03-18,-0.05904131776208687,0.05904131776208687,0.0,,0.10162976472069608,A_no_kappa
2020-03-19,0.012388937182172051,-0.012388937182172051,0.0,,0.10162976472069608,A_no_kappa
2020-03-20,-0.041918477391338506,0.041918477391338506,0.0,,0.10162976472069608,A_no_kappa
2020-03-23,-0.03594658045712218,0.03594658045712218,0.0,,0.10162976472069608,A_no_kappa
2020-03-24,0.10845752683816733,-0.10845752683816733,0.0,,0.10162976472069608,A_no_kappa
2020-03-25,0.021391983612293077,-0.021391983612293077,0.0,,0.10162976472069608,A_no_kappa
2020-03-26,0.0651000290417775,-0.0651000290417775,0.0,,0.10162976472069608,A_no_kappa
2020-03-27,-0.03204938767119297,0.03204938767119297,0.0,,0.10162976472069608,A_no_kappa
2020-03-30,0.0311323805562413,-0.0311323805562413,0.0,,0.10162976472069608,A_no_kappa
2020-03-31,-0.009394526532527066,0.009394526532527066,1.8237432538253795,1.0,0.10162976472069608,A_no_kappa
2020-04-01,-0.008057379796205862,0.008057379796205862,0.0,,0.10162976472069608,A_no_kappa
